Year,Category,Book,Author,Language,Notes
2005,Novel,Teru,Raghavendra Patil,KANNADA,
2004,Novel,Baduku,Geetha Nagabhushana,KANNADA,
2003,Essays,Kaviraja Marga Mattu Kannada Jagattu,KV Subbanna,KANNADA,
2002,Epic,Yugasandhya,Sujana S Narayana Shetty,KANNADA,
2001,Literary history,English Sahitya Charitre,LS Seshagiri Rao,KANNADA,
2000,Novel,Om Namo,Shantinath K Desai,KANNADA,Awarded Posthumously
1999,Essays,Sahitya Kathana,DR Nagaraj,KANNADA,Awarded Posthumously
1998,Poetry,Sapthapadi,BC Ramachandra Sharma,KANNADA,
1997,Criticism,Hosatu Hosatu,M Chidananda Murthy,KANNADA,
1996,Literary criticism,Bhuvanada Bhagya,GSAmur,KANNADA,
1995,Criticism,Uriya Nalage,Kirtinath Kurtkoti,KANNADA,
1994,Play,Taledanda,Girish Karnad,KANNADA,
1993,Short Stories,Kallu Karaguva Samaya,P Lankesh,KANNADA,
1992,Poetry,Bakulada Hoovugalu,SR Ekkundi,KANNADA,
1991,Play,Sirisampige,Chandrasekhara Kambar,KANNADA,
1990,Novel,Kusuma Bale,Devanur Mahadeva,KANNADA,
1989,Belles-Lettres,Samprati,HM Nayak,KANNADA,
1988,Novel,Avadheshwari,Shankar Mokashi Punekar,KANNADA,
1987,Novel,Chidambara Rahasya,KP Poornachandra Tejaswi,KANNADA,
1986,Novel,Bandaya,Vyasaraya Ballal,KANNADA,
1985,Novel,Durgaasthamaana,TR Subba Rao Ta Ra Su,KANNADA,Awarded Posthumously
1984,Literary Criticism,Kavyartha Chintana,GS Sivarudrappa,KANNADA,
1983,Short stories,Katheyaadalu Hudugi,Yashwant Chittal,KANNADA,
1982,Novel,Vaishakha,Chaduranga,KANNADA,
1981,Poetry,Jeewa Dhwani,Chennaveera Kanavi,KANNADA,
1980,Travelogue,Americadalli Goruru,Goruru Ramaswami lyengar,KANNADA,
1979,Reminiscences,Chitragalu Patragalu,AN Moorthy Rao,KANNADA,
1978,Travelogue,Hasuru Honnu,BGL Swamy,KANNADA,
1977,Poetry,Tereda Baagilu,KS Narasimhaswam,KANNADA,
1976,Psychiatric studies,Mana Manthana,M Shivaram,KANNADA,
1975,Novel,Daatu,SL Bhyrappa,KANNADA,
1974,Poetry,Vardhamaana,Gopalakrishna Adiga,KANNADA,
1973,Poetry,Aralu Baralu,V Sitaramaiah,KANNADA,
1972,Commentary,Shoonyasampadaneya Paramarshe,SS Bhoosnurmath,KANNADA,
1971,Literary criticism,Kalidasa,Adya Rangacharya,KANNADA,
1970,Cultural Study,Karnataka Samskritiya Poorva Peethike,SB Joshi,KANNADA,
1969,Cultural Study,Karnataka Samskriti Sameekshe,H Tipperudraswamy,KANNADA,
1968,12-13) (Short Stories,Sannakathegalu,Srinivasa Masti Venkatesa lyengar,KANNADA,
1967,Philosophical expositions,Shrimad Bhagavadgita Tatparya Athava Jivanadharmayoga,DV Gundappa,KANNADA,
1966,Musical plays,Hamsa Damayand Mattu Itara Rupakagalu,PT Narasimhachar,KANNADA,
1965,Philosophical reflections,Ranga Binnapa,SV Ranganna,KANNADA,
1964,Novel,Kranti-Kalyana,B Puttaswamayya,KANNADA,
1962,Novel,Mahakshatriya,Devudu Narasimha Sastri,KANNADA,Awarded Posthumously
1961,A critical Study,Bangali Kadambarikara Bankim Chandra,AR Krishna Sastri,KANNADA,
1960,Poetry,Dyava-Prithvi,Vinayaka VK Gokak,KANNADA,
1959,A treatise on folk-drama,Yakshagana Bayalata,KS Karanth,KANNADA,
1958,Poetry,Aralu-Maralu,DR Bendre,KANNADA,
1956,History of Literature,Kannada Sahitya Charitre,RS Mugali,KANNADA,
1955,Epic,Sri Ramayana Darsanam,Kuvempu KV Puttappa,KANNADA,
2023,Poetry,Yeth Waweh Halay Tsong Kous Zalay,Manshoor Banihali,KASHMIRI,
2022,Literary Criticism,Zael Dab,Farooq Fayaz ,KASHMIRI,
2021,Criticism,Tawazun ,Wali Mohd Aseer Kashtawari ,KASHMIRI,
2020,Short Stories,Tilasm-e-Khanabadosh,Late Hirday Koul  Bharti,KASHMIRI,
2019,Short Stories,Akh Yaad Akh Qayamat,Abdul Ahad Hajini,KASHMIRI,
2018,Short Stories,Aakh,Mushtaq Ahmad Mushtaq,KASHMIRI,
2017,Short Stories,Yeli Parda Woth,Autar Krishen Rahbar,KASHMIRI,
2016,Criticism,Aane Khane,Aziz Hajini,KASHMIRI,
2015,Criticism,Jamis Ta Kasheeri Manz Kashir Natia Adabuk Tawareekh,Bashir Bhadarwahi,KASHMIRI,
2014,Poetry,Kore Kakud Pushrith Gome,Shad Ramzan,KASHMIRI,
2013,Short Stories,Aina Aatash ,MohiudDin Reshi,KASHMIRI,
2012,Poetry,Yath Aangnas Manz,Makhan Lal Kanwal,KASHMIRI,
2011,Poetry,Na Thsay Na Aks,Naseem Shafaie,KASHMIRI,
2010,Criticism,Yiman Padan Mye Vetsaar Gotshuy,Basher Bashir,KASHMIRI,
2009,Literary Criticism,Vont,Mishal Sultanpuri,KASHMIRI,
2008,Criticism,Baazyaafat,Ghulam Nabi Aatash,KASHMIRI,
2007,Short Stories,Tshen,Ratan lal Shant,KASHMIRI,
2006,Poetry,Yaad Aasmqnqn Hinz,Shafi Shauq,KASHMIRI,
2005,Poetry,Yath Miani Joye,Hamidi Kashmiri,KASHMIRI,
2004,Poetry,Sada Te Samandar,Gh Nabi Firaq,KASHMIRI,
2003,Short Stories,Yell Phol Gaash,Som Nath Zutshi,KASHMIRI,Awarded Posthumously
2002,Criticism,Pursaan,Naji Munawar,KASHMIRI,
2001,Poetry,Rikhah,MohiudDinGowhar,KASHMIRI,Awarded Posthumously
2000,Short Stories,Yath Raaz Danay,Harikrishna Kaul,KASHMIRI,
1999,Poetry,Vahrat,Rashid Nazki,KASHMIRI,
1998,Criticism,Mahjoor Shinasi,Mohammad Yousuf Taing,KASHMIRI,
1997,Poetry,Nai Che Nallan,Rafiq Raaz,KASHMIRI,
1995,Poetry,Naar Hatun Kazal Wanas,M Farooq Nazki,KASHMIRI,
1994,Play,Kaeji Raath,Sajood Sailani,KASHMIRI,
1993,Essays,Kenh Natu Kenh,Syed Rasool Pompur,KASHMIRI,
1992,Poetry,Amaar,Shafi Shaida,KASHMIRI,
1991,Poetry,Achhre Tsange,Ghulam Nabi Tak Naazir,KASHMIRI,
1990,Poetry,Kashur Sarmaya,Fazil Kashmiri,KASHMIRI,
1989,Novel,Sheen Te Watpod,Pran Kishore,KASHMIRI,
1988,Novel,Pun-Te-Paap,Ghulam Nabi Gauhar,KASHMIRI,
1987,Poetry,Awaz-i-Dost,Mir Ghulam Rasool Nazki,KASHMIRI,
1986,Poetry,Shihil Kul,Dina Nath Nadim,KASHMIRI,
1985,Poetry,Lole Vetsar,Mirza GH Beg Arif,KASHMIRI,
1984,Essays,Essay,Mohd Zaman Azurdah,KASHMIRI,
1982,Play,Natak Truche,Motilal Kemmu,KASHMIRI,
1981,Poetry,Mansar,Moti Lal Saqi,KASHMIRI,
1979,Poetry,Partavistan,Marghoob Banihali,KASHMIRI,
1978,Poetry,Be Soakh Rooth,GR Santosh,KASHMIRI,
1976,Plays,Machama,Pushkar Bhan,KASHMIRI,
1975,Essays,Gaashir Munaar,Ghulam Nabi Khayal,KASHMIRI,
1972,Play,Suyya,Ali Mohammad Lone,KASHMIRI,
1970,Essays,Maqualaat,Mohiuddin Hajini,KASHMIRI,
1969,Linguistic Study,Ka ‘Shri Zab’: Ny Hund Alleqavaad Phera,Abdul Khaliq Tak Zainageri,KASHMIRI,
1967,Poetry,Laveh Te Praveh,Amin Kamil,KASHMIRI,
1961,Poetry,Nauroz-i-Saba,A Rahman Rahi,KASHMIRI,
1958,Short stories,Sat Sangar,Akhtar MohiudDin Ghulam MohiudDinAkhtar Wani,KASHMIRI,
1956,Poetry,Sumran,Zinda Kaul Masterji,KASHMIRI,
2023,Short Stories,Varsal,Prakash S Parienkar,KONKANI (Since 1977),
2022,Novel,Amrutvel,Maya Anil Kharangate,KONKANI (Since 1977),
2021,Poetry,Raktachandan ,Sanjiv Verenkar ,KONKANI (Since 1977),
2020,Poetry,Yugaparivarthanancho  Yatri,RS Bhaskar,KONKANI (Since 1977),
2019,Poetry,The Words,Nilba A Khandekar,KONKANI (Since 1977),
2018,Poetry,Chitralipi,Paresh Narendra Kamat,KONKANI (Since 1977),
2017,Short Stories,Khand Ani Her Katha,Gajanan Jog,KONKANI (Since 1977),
2016,Novel,Kale Bhangar,Edwin JFDsouza,KONKANI (Since 1977),
2015,Play,Karna Parva,Uday Bhembre,KONKANI (Since 1977),
2014,Essays,Manthan,Madhavi Sardesai,KONKANI (Since 1977),
2013,Essays,Manmotayam ,Tukaram Rama Shet,KONKANI (Since 1977),
2012,Poetry,Kavyasutra,Kashinath Shamba Lolienkar SDTendulkar,KONKANI (Since 1977),
2011,Poetry,Prakriticho Paas,Melvyn Rodrigues,KONKANI (Since 1977),
2010,Poetry,Kayallyachem Sraddha,Arun Sakhardande,KONKANI (Since 1977),
2009,Poetry,Kirvontt,Jess Fernandes,KONKANI (Since 1977),
2008,Novel,Ghanaqhai Niyatiche,Ashok Kamat,KONKANI (Since 1977),
2007,Novel,Dika,Devidas Kadam,KONKANI (Since 1977),
2006,Essays,Jai Kai Jui,Datta Damodar Naik,KONKANI (Since 1977),
2005,Short Stories,Bhaangarsaall,N Shivdas,KONKANI (Since 1977),
2004,Short Stories,Athang,Jayanti Naik,KONKANI (Since 1977),
2003,Short Stories,Parigh,Shashank Sitaram,KONKANI (Since 1977),Awarded Posthumously
2002,Novel,Bhogadandd,Hema Naik,KONKANI (Since 1977),
2001,Poetry,Yaman,Madhav Borcar,KONKANI (Since 1977),
2000,Poetry,Champhel’li Sanj,Pandurang Bhangui,KONKANI (Since 1977),
1999,Poetry,Antarnad,Saratchandra Shenoi,KONKANI (Since 1977),
1998,Poetry,Ashim Asim Lharan,John Baptist Sequeira,KONKANI (Since 1977),
1997,Pen-portraits,Bhuim Chafim,Sheela Kolambkar,KONKANI (Since 1977),
1996,Poetry,Nilem Nilem Braham,Sankar Ramani,KONKANI (Since 1977),
1995,Travelogue,Gomanchal Te Himachal,Dilip Borkar,KONKANI (Since 1977),
1994,Short Stories,Antarayami,Gokuldas Prabhu,KONKANI (Since 1977),
1993,Short Stories,Tarangan,Mahabaleshwar Sail,KONKANI (Since 1977),
1992,Poetry,Vanshakulachen Denen,Nagesh Karmali,KONKANI (Since 1977),
1991,Short stories,Sapan Fulam,Meena Kakodkar,KONKANI (Since 1977),
1990,Poetry,Savul Gori,Ramesh B Veluskar,KONKANI (Since 1977),
1989,Poetry,Sonshyache Kan,CF DCosta,KONKANI (Since 1977),
1988,Short stories,Vhonkolpavnni,Chandrakant Keni,KONKANI (Since 1977),
1987,Short stories,Panaji Atam Mhatari Zalea,Arvind N Mambro,KONKANI (Since 1977),
1986,Poetry,Hanv Monis Asvat-Thamo,Prakash Damodar Padgaonkar,KONKANI (Since 1977),
1985,Poetry,Bhitorlem Tufan,JB Moraes,KONKANI (Since 1977),
1984,One-act play,Chowrang,Pundalik Narayan Naik,KONKANI (Since 1977),
1983,Novel,Karmelin,Damodar Mauzo,KONKANI (Since 1977),
1982,Essays,Khabari,Laxmanrao Sardessai,KONKANI (Since 1977),
1981,Poetry,Sasaya,BB Borkar Bakibab,KONKANI (Since 1977),
1980,Poetry,Pissolim,Manohar Sardessai,KONKANI (Since 1977),
1979,Poetry,Dorya Gazota,RV Pandit,KONKANI (Since 1977),
1978,Humorous essays,Manni Punav,DK Sukhthankar,KONKANI (Since 1977),
1977,Travelogue,Himalayant,Ravindra Kelekar,KONKANI (Since 1977),
2023,Essays,Bodha Sanketan,Basukinath Jha,MAITHILI (Since 1966),
2022,Poetry,Pen-Drive Me Prithvi,Ajit Azad ,MAITHILI (Since 1966),
2021,Novel,Pangu,Jagdish Prasad Mandal,MAITHILI (Since 1966),
2020,Short Stories,Gachh Roosal Achhi,Kamalkant Jha,MAITHILI (Since 1966),
2019,Poetry,Jingik Oriaon Karait,Kumar Manish Arvind,MAITHILI (Since 1966),
2018,Short Stories,Parineeta,Bina Thakur ,MAITHILI (Since 1966),
2017,Poetry,Jahalak Diary,Udaya Narayana Singh Nachiketa,MAITHILI (Since 1966),
2016,Short Stories,Barki Kaki at Hotmail Dot Corn,Shyam Darihare,MAITHILI (Since 1966),
2015,Short Stories,Khissa,Man Mohan Jha,MAITHILI (Since 1966),
2014,Novel,Uchat,Asha Mishra,MAITHILI (Since 1966),
2013,Memoirs,Sangharsh Aa Sehanta,Sureshwar Jha,MAITHILI (Since 1966),
2012,Autobiography,Kist-Kist Jeewan,Shefalika Verma,MAITHILI (Since 1966),
2011,Poetry,Apaksha,Uday Chandra Jha Vinod,MAITHILI (Since 1966),
2010,Novel,Bhamati,Usha Kiran Khan,MAITHILI (Since 1966),
2009,Short Stories,Ganga-Putra,Man Mohan Jha,MAITHILI (Since 1966),Awarded Posthumously
2008,Memoirs,Katek Daaripar,Mantreshwar Jha,MAITHILI (Since 1966),
2007,Short Stories,Sarokar,Pradip Bihari,MAITHILI (Since 1966),
2006,Short Stories,Kaath,Bibhuti Anand,MAITHILI (Since 1966),
2005,Poetry,Chanan Ghan Gachchiya,Vivekanand Thakur,MAITHILI (Since 1966),
2004,Epic,Shakuntala,Chandrabhanu Singh,MAITHILI (Since 1966),
2003,Short Stories,Ritambhara,Niraja Renu Khamakhy A Devi,MAITHILI (Since 1966),
2002,Poems,Sahasmukhi Chowk Par,Somdev,MAITHILI (Since 1966),
2001,Epic,Pratijna Pandav,Babuajee Jha Ajnat,MAITHILI (Since 1966),
2000,Poetry,Katek Raas Baat,Ramanand Renu,MAITHILI (Since 1966),
1999,Short Stories,Gananayak,Saketanand,MAITHILI (Since 1966),
1998,Poetry,Takait Achhi Chirai,Jeeva Kant,MAITHILI (Since 1966),
1997,Poetry,Dhwast Hoet Shanti Stoop,Keerti Narayan Mishra,MAITHILI (Since 1966),
1996,Short stories,Aai Kaalhi Parsoo,Raj Mohan Jha,MAITHILI (Since 1966),
1995,Poetry,Kavita Kusumanjali,Jayamanta Mishra,MAITHILI (Since 1966),
1994,Short stories,Uchitavakta,Gangesh Gunjan,MAITHILI (Since 1966),
1993,Short stories,Samak Pauti,Govinda Jha,MAITHILI (Since 1966),
1992,Essays,Vividha,Bhimanath Jha,MAITHILI (Since 1966),
1991,Play,Pasijhaita Pathar,Ramdeo Jha,MAITHILI (Since 1966),
1990,Short stories,Prabhasak Katha,Prabhas Kumar Choudhuri,MAITHILI (Since 1966),
1989,Epic,Parasar,Kanchinath Jha Kiran,MAITHILI (Since 1966),Awarded Posthumously
1988,Novel,Mantraputra,Mayanand Mishra,MAITHILI (Since 1966),
1987,Short stories,Atita,Umanath Jha,MAITHILI (Since 1966),
1986,Belles-lettres,Natik Patrak Uttar,Subhadra Jha,MAITHILI (Since 1966),
1985,Autobiography,Jeevan Yatra,Hari Mohan Jha,MAITHILI (Since 1966),Awarded Posthumously
1984,Poetry,Suryamukhi,Arsi Prasad Singh,MAITHILI (Since 1966),
1983,Treatise,Maithili Patrakaritaka Ithihas,Chandranath Mishra Amar,MAITHILI (Since 1966),
1982,Novel,Marichika,Lily Ray,MAITHILI (Since 1966),
1981,Epic,Agastyayaini,Markandeya Pravasi,MAITHILI (Since 1966),
1980,Novel,Ee Bataha Sansar,Sudhanshu Shekhar Chaudhary,MAITHILI (Since 1966),
1979,Poetry,Krishna-charit,Tantranath Jha,MAITHILI (Since 1966),
1978,Poetry,Baji Uthal Murali,Upendra Thakur Mohan,MAITHILI (Since 1966),
1977,Literary criticism,Avahatta: Udbhava O Vikas,Rajeshwar Jha,MAITHILI (Since 1966),Awarded Posthumously
1976,Epic,Sitayana,Vaidyanath Mallik Vidhu,MAITHILI (Since 1966),
1975,Reminiscences,Kichhu Dekhal Kichhu Sunal,Girindramohan Mishra,MAITHILI (Since 1966),
1973,Novel,Naika Banijara,Braj Kishore Verma Manipadma,MAITHILI (Since 1966),
1971,Poetry,Payasvini,Surenda Jha Suman,MAITHILI (Since 1966),
1970,Epic poetry,Radha Viraha,Kashikant Mishra Madhup,MAITHILI (Since 1966),
1969,Novel,Du Patra,Upendranth Jha,MAITHILI (Since 1966),
1968,Poetry,Patrahin Nagna Gachh,Yatri Vaidyanath Mishra,MAITHILI (Since 1966),
1966,Philosophical treatise,Mithila-Baibhav,Yashodhar Jha,MAITHILI (Since 1966),
2023,Literary Study,Malayala Novelinte Deshakalangal,EV Ramakrishnan,MALAYALAM,
2022,Literary Criticism,Ashaante Seethayanam,M Thomas Mathew,MALAYALAM,
2021,Autobiography,Hrudayaragangal ,George Onakkoor ,MALAYALAM,
2020,Omcheriyute Ormmakkurippukal) (Memoirs,Akasmikam,Omchery NN Pillai ,MALAYALAM,
2019,Poetry,Achan Piranna Veedu,V Madhusoodanan Nair,MALAYALAM,
2018,Poetry,Gurupournami ,S Ramesan Nair,MALAYALAM,
2017,Novel,Daivathinte Pusthakam,KP Ramanunni,MALAYALAM,
2016,Poetry,Shyamamadhavam,Prabha Varma,MALAYALAM,
2015,Novel,Aarachar,KR Meera,MALAYALAM,
2014,Novel,Manushyanu Oru Aamukham,Subhash Chandran,MALAYALAM,
2013,Autobiography,Kathayillathavante Katha,MN Paloor,MALAYALAM,
2012,Poetry,Marannu Vecha Vasthukkal,K Satchidanandan,MALAYALAM,
2011,Biography,Basheer: Ekantha Veedhiyile Avadhoothan,MK Sanu,MALAYALAM,
2010,Travelogue,Haimavathabhuvil,MP Veerendra Kumar,MALAYALAM,
2009,Novellas,Thrikkotlur Novellukar,UA Khader,MALAYALAM,
2008,Essays,Madhuram Ninte Jeevitham,KP Appan,MALAYALAM,Awarded Posthumously
2007,Novel,Adayalangal,Sethu A Sethumadhavan,MALAYALAM,
2006,Short Stories,Chuvanna Chinnangal,M Sukumaran,MALAYALAM,
2005,Short Stories,Jappana Ppukayila,GV Kakkanadan,MALAYALAM,
2004,Short Stories,Zachariyayute Kathakai,Paul Zachariah,MALAYALAM,
2003,Novel,Alahayude Penmakkal,Sara Joseph,MALAYALAM,
2002,Poems,K.G. Sankara Pillayude Kavitakal,KG Sankara Pillai,MALAYALAM,
2001,Poetry,Attoor Ravi Varmayute Kavitakal,Attoor Ravi Varma,MALAYALAM,
2000,Poetry,R. Ramachandrante Kavithakal,R Ramachandran,MALAYALAM,
1999,Short Stories,Sreeramante Kathakal,CV Sreeraman,MALAYALAM,
1998,Novel,Thattakam,Kovilan VV Ayyappan,MALAYALAM,
1997,Novel,Govardhante Yatrakal,Anand P Satchidanandan,MALAYALAM,
1996,Short Stories,Gowri,T Padmanabhan,MALAYALAM,
1995,Memoirs,Arangu Kanatha Natan,Thikkodiyan P K Nair,MALAYALAM,
1994,Poetry,Ujjayiniyile Rappakalukal,Vishnu Narayanan Namboodiri,MALAYALAM,
1993,Novel,Daivathinte Kannu,NP Mohammed,MALAYALAM,
1992,Novel,Daivathinte Vikruthikal,M Mukundan,MALAYALAM,
1991,Criticism,Chhatravum Chamaravum,MP Sankunni Nair,MALAYALAM,
1990,Novel,Gurusagaram,OV Vijayan,MALAYALAM,
1989,Poetry,Nizhalana,Olappamanna Subrahmanian Nambudiripad,MALAYALAM,
1988,Novel,Spandamapinikale Nandi,C Radhakrishnan,MALAYALAM,
1987,Literary criticism,Prathipathram Bhashanabhedam,N Krishna Pillai,MALAYALAM,
1986,Critical study,Kavitadwani,M Leelavathy,MALAYALAM,
1985,Critical study,Tatvamasi,Sukumar Azhicode,MALAYALAM,
1984,Poetry,Ayyappa Panikkarute Kritikal 1969-80,K Ayyappa Paniker,MALAYALAM,
1983,Essays,Thiranjedutha Prabandhangal,S Guptan Nair,MALAYALAM,
1982,Short stories,Payyan Kathakal,VKN Thiruvilvamala,MALAYALAM,
1981,Novel,Avakasikal,Vilasini MK Menon,MALAYALAM,
1980,Novel,Smaraka Silakal,Punathil Kunhabdulla,MALAYALAM,
1979,Literary criticism,Vallatholinte Kavyasilpam,NV Krishna Warrior,MALAYALAM,
1978,Poetry,Ratrimazha,Sugathakumari,MALAYALAM,
1977,Novel,Agnisakshi,N Lalithambika Antharjanam,MALAYALAM,
1976,Autobiography,Jeevithappatha,C Govinda Pisharoti Cherukat,MALAYALAM,Awarded Posthumously
1975,Poetry,Aksharam,ONV Kurup,MALAYALAM,
1974,Poetry,Kamasurabhi,Vennikkulam Gopala Kurup,MALAYALAM,
1973,Poetry,Balidarsanam,Akkitham Achyuthan Nambudiri,MALAYALAM,
1972,Novel,Oru Desathinte Katha,SK Pottekkat,MALAYALAM,
1971,Poetry,Vida,Vyloppillil Sreedhara Menon,MALAYALAM,
1970,Novel,Kaalam,MT Vasudevan Nair,MALAYALAM,
1969,Poetry,Kavile Pattu,Edasseri Govindan Nair,MALAYALAM,
1967,Poetry,Thamarathoni,P Kunhiraman Nair,MALAYALAM,
1966,Essays,Kala Jeevitham Thanne,KM Kuttikrishna Marar,MALAYALAM,
1965,Poetry,Muthassi,N Balamani Amma,MALAYALAM,
1964,Novel,Ayalkkar,P Kesava Dev,MALAYALAM,
1963,Poetry,Viswadarsanam,G Sankara Kurup,MALAYALAM,
1960,Novel,Sundarikalum Sundaranmarum,Uroob P C Kuttikrishnan,MALAYALAM,
1958,Autobiography,Kazhinja Kaalam,KP Kesava Menon,MALAYALAM,
1957,Novel,Chemmeen,Thakazhi Sivasankara Pillai,MALAYALAM,
1956,Commentary,Paniniya Pradyotam,IC Chacko,MALAYALAM,Awarded Posthumously
1955,History of Literature,Bhasha Sahitya Charitram,R Narayana Panikkar,MALAYALAM,
2023,Poetry,Yachangba Nang Hallo,Sorokkhaibam Gambhini,MANIPURI (Since 1973),
2022,Poetry,Leironnung,Koijam Shantibala ,MANIPURI (Since 1973),
2021,Criticism,Manipurida Punshi Warigee Sahitya,Thokchom Ibohanbi Singh,MANIPURI (Since 1973),
2020,Poetry,Malangbana Kari Hai,Irungbam Deven,MANIPURI (Since 1973),
2019,Novel,Ei Amadi Adungeigi Eethat,L Birmangol Singh Beryl Thanga,MANIPURI (Since 1973),
2018,Short Stories,Ngamkheigee Wangmada,Budhichandra Heisnamba,MANIPURI (Since 1973),
2017,Play,Chahee Taret Khuntakpa,Rajen Toijamba,MANIPURI (Since 1973),
2016,Short Stories,Cheptharaba Eshingpun,Moirangthem Rajen,MANIPURI (Since 1973),
2015,Poetry,Ahingna Yekshilliba Mang,Kshetri Rajen,MANIPURI (Since 1973),
2014,Poetry,Khung-Gang Amasung Refugee,Naorem Bidyasagar Singh,MANIPURI (Since 1973),
2013,Travelogue,Chinglon Amadagi Amada ,Makhonmani Mongsaba,MANIPURI (Since 1973),
2012,Novel,Mathou Kanba DNA,Jodha C Sanasam,MANIPURI (Since 1973),
2011,Novel,Nangbu Ngaibada,Kshetri Bira,MANIPURI (Since 1973),
2010,Novel,Leikangla,M Borkanya,MANIPURI (Since 1973),
2009,Poetry,Khungangi Chithi,Raghu Leishangthem,MANIPURI (Since 1973),
2008,Poetry,Edu Ntngthou,AO Memchoubi,MANIPURI (Since 1973),
2007,Novel,Imasi Nurabee,BM Maisnamba,MANIPURI (Since 1973),
2006,Travelogue,Nungshibi Greece,Saratchand Thiyam,MANIPURI (Since 1973),
2005,Short stories,Pangal Shonbi Eishe Adomgini,M Nabakishore Singh,MANIPURI (Since 1973),
2004,Poetry,Lanthengnariba Lanmee,Birendrajit Naorem,MANIPURI (Since 1973),
2003,Short stories,Leiyee Khara Punsi Khara,Sudhir Naoroibam,MANIPURI (Since 1973),
2002,Poems,Mei Mamgera Budhi Mamgera,Rajkumar Bhubonsana,MANIPURI (Since 1973),
2001,Short stories,Khongji Makhol,Ningombam Sunita,MANIPURI (Since 1973),
2000,Short stories,Eemagi Phanek Machet,Laitonjam Premchand Singh,MANIPURI (Since 1973),
1999,Poetry,Hi Nangbu Hondeda,Sagolsem Lanchenba Meetei,MANIPURI (Since 1973),
1998,Short stories,Nongdi Tarak-Khidare,Keisham Priyokumar,MANIPURI (Since 1973),
1997,Poetry,Bhut Amasung Maikhum,Thangjam Ibopishak Singh,MANIPURI (Since 1973),
1996,Poetry,Praloigi Meiriraktagi,RK Madhubir,MANIPURI (Since 1973),
1995,Play,Leipkalei,Arambam Somorendra Singh,MANIPURI (Since 1973),
1994,Short stories,Mayai Karaba Shamu,Rajkumar Mani Singh,MANIPURI (Since 1973),
1993,Novel,Punshigi Marudyan,Arambam Biren Singh,MANIPURI (Since 1973),
1992,Novel,Tharoshangbi,A Chitreshwar Sharma,MANIPURI (Since 1973),
1991,Short stories,Numitti Asum Thengjillakali,Yumlemban Ibomcha Singh,MANIPURI (Since 1973),
1990,Poetry,Mapal Naidabasida Ei,Nongthombam Biren Singh,MANIPURI (Since 1973),
1989,Short stories,Tatkhrabha Punshi Leipul,Nilabir Sharma Shastri,MANIPURI (Since 1973),
1988,Short stories,Mamangthong Lollabadi Maninghthongda Lakaudana,E Sonamani Singh,MANIPURI (Since 1973),
1987,Poetry,Tirtha Yatra,E Nilakanta Singh,MANIPURI (Since 1973),
1986,Short stories,Mangi Isei,Khumanthem Prakash Singh,MANIPURI (Since 1973),
1985,Novel,Vir Tikendrajit Road,H Guno Singh,MANIPURI (Since 1973),
1984,Short stories,Chekla Paikhrabada,Lamabam Viramani Singh,MANIPURI (Since 1973),
1983,Play,Karnagi Mama Amasung Karnagi Aroiba Yahip,N Ibobi Singh,MANIPURI (Since 1973),
1982,Short stories,Pistal Ama Kundallei Ama,E Dinamani Singh,MANIPURI (Since 1973),
1981,Short stories,Kalenthagi Leipaklei,E Rajanikanta Singh,MANIPURI (Since 1973),
1979,Novel,Boro Saheb Ongbi Sanatombi,MK Binodini Devi,MANIPURI (Since 1973),
1978,Drama,Ngabongkhao,GC Tongbra,MANIPURI (Since 1973),
1977,Poetry,Aseibagi Nitaipod,A Minaketan Singh,MANIPURI (Since 1973),
1976,Poetry,Mamang Leikai Thambal Shatley,L Samarendra Singh,MANIPURI (Since 1973),
1974,Short stories,Ilisa Amagi Mahao,N Kunjamohan Singh,MANIPURI (Since 1973),
1973,Novel,Imphal Amasung Magi Nungshiki Phibam Ishing,Pacha Meitai,MANIPURI (Since 1973),
2023,Novel,Ringan,Krushnat Khot,MARATHI,
2022,Novel,Ujavya Sondechya Bahulya,Praveen Dashrath Bandekar,MARATHI,
2021,Short Stories,Baluchya Awasthantarachi Diary ,Kiran Gurav ,MARATHI,
2020,Novel,Udya,Nanda Khare,MARATHI,
2019,Poetry,Kadachit Ajoonahi,Anuradha Patil,MARATHI,
2018,Literary Criticism,Sarjanprerana ani Kavitwashodh ,Ma Su Patil ,MARATHI,
2017,Poetry,Bolave Te Amhi,Shrikant Deshmukh,MARATHI,
2016,Short Stories,Aalok,Asaram Lomate,MARATHI,
2015,Memoirs,Chalat-Chitravyooh,Arun Khopkar,MARATHI,
2014,Autobiography,Chaar Nagarantale Maaze Viswa,Jayant Vishnu Naralikar,MARATHI,
2013,Essays,Vachanaryachi Rojanishee ,Satish Kalasekar ,MARATHI,
2012,Short Stories,Phoenixchya Rakhetun Uthala Mor,Jayant Pawar,MARATHI,
2011,Essays,Varyane Halate Raan,Grace Manik Godghate,MARATHI,
2010,Criticism,Rujuvat-Asvad : Samiksha : Mimamsa,Ashok R Kelkar,MARATHI,
2009,Poetry,Chitralipi,Vasant Abaji Dahake,MARATHI,
2008,Novel,Utsukatene Mee Zopalo,Shyam Manohar,MARATHI,
2007,Biography,Maharshi Vitthal Ramaji Shinde: Jeevan Va Karya,GM Pawar,MARATHI,
2006,Novel,Bhoomi,Asha Bage,MARATHI,
2005,Poetry,Bhijaki Vahi,Arun Kolatkar,MARATHI,Awarded Posthumously
